PortalID,adviserCode,ValueDate,AcctId,SleeveID,Model,AccountTypeDescription,SecCode,AssetClass,GICS, Price ,Quantity,MarketValue
19,1201,31/01/2018,11859,1486,Cash,Superfund (Accumulation),MAQ0789AU,Cash,,$0.97,36098,35015.06
19,1201,31/01/2018,11859,1490,Cash,Superfund (Accumulation),IOF0145AU,Australian Fixed Interest,,$1.07,18591,19892.37
19,1201,31/01/2018,11865,1555,Cash,Superfund (Accumulation),PER0116AU,Australian Equity,,$2.03,61232,124300.96
19,1201,31/01/2018,11865,1555,Cash,Superfund (Accumulation),TLS,Australian Equity,Telecommunication Services,$3.67,17571,64485.57
19,1201,31/01/2018,11865,1557,Equities,Superfund (Accumulation),RGL0002AU,Australian Equity,,$1.75,44076,77133
19,1201,31/01/2018,11865,1557,Equities,Superfund (Accumulation),PER0439AU,Australian Equity,,$1.50,98296,147444
19,1201,31/01/2018,11865,1557,Equities,Superfund (Accumulation),RGL0004AU,Australian Equity,,$2.26,36202,81816.52
19,1201,31/01/2018,11865,1557,Equities,Superfund (Accumulation),PIM0028AU,Australian Equity,,$1.25,117705,147131.25
19,1201,31/01/2018,11865,1557,Equities,Superfund (Accumulation),OPS7755AU,Australian Equity,,$1.23,122536,150719.28
19,1201,31/01/2018,11865,1559,Equities,Superfund (Accumulation),MGE0001AU,International Equity,,$2.13,51930,110610.9
19,1201,31/01/2018,11865,1559,Equities,Superfund (Accumulation),PLA0100AU,International Equity,,$2.80,54596,152868.8
19,1201,31/01/2018,11865,1559,Equities,Superfund (Accumulation),SCH0030AU,International Equity,,$0.90,194024,174621.6
19,1201,31/01/2018,11865,1559,Equities,Superfund (Accumulation),SST0050AU,International Equity,,$1.52,122170,185698.4
19,1201,31/01/2018,11865,1559,Equities,Superfund (Accumulation),LAZ0025AU,International Equity,,$1.46,75072,109605.12
19,1201,31/01/2018,11865,1560,Equities,Superfund (Accumulation),EQI0028AU,International Equity,,$2.44,25230,61561.2
19,1201,31/01/2018,11865,1560,Equities,Superfund (Accumulation),PMC0002AU,International Equity,,$1.99,55088,109625.12
19,1201,31/01/2018,11865,1562,Fixed Interest,Superfund (Accumulation),MAQ0211AU,Australian Fixed Interest,,$0.99,212720,210592.8
19,1201,31/01/2018,11865,1567,Fixed Interest,Superfund (Accumulation),CSA0046AU,International Fixed Interest,,$1.03,75249,77506.47
19,1201,31/01/2018,11865,1567,Fixed Interest,Superfund (Accumulation),ETL0019AU,International Fixed Interest,,$0.98,74890,73392.2
19,1201,31/01/2018,11865,1567,Fixed Interest,Superfund (Accumulation),OMF0005AU,Australian Fixed Interest,,$1.37,159357,218319.09
19,1201,31/01/2018,11865,1568,Cash,Superfund (Accumulation),IOF0111AU,Cash,,$1.05,156894,164738.7
19,1201,31/01/2018,11865,1568,Cash,Superfund (Accumulation),IOF0145AU,Australian Fixed Interest,,$1.07,65799,70404.93
19,1201,31/01/2018,11865,1569,Alternatives,Superfund (Accumulation),FSF1086AU,Alternative Investments,,$1.24,56296,69807.04
19,1201,31/01/2018,11865,1569,Alternatives,Superfund (Accumulation),ECL0013AU,Alternative Investments,,$1.18,70667,83387.06
19,1201,31/01/2018,11865,1569,Alternatives,Superfund (Accumulation),PER0730AU,Alternative Investments,,$0.91,59317,53978.47
19,1201,31/01/2018,11865,1569,Alternatives,Superfund (Accumulation),GSF0009AU,Alternative Investments,,$0.91,68086,61958.26
19,1201,31/01/2018,11865,1569,Alternatives,Superfund (Accumulation),GMO0014AU,Alternative Investments,,$1.06,56566,59959.96
19,1201,31/01/2018,11865,1569,Alternatives,Superfund (Accumulation),ETL0485AU,Alternative Investments,,$0.95,84165,79956.75
19,1201,31/01/2018,11865,1570,Property,Superfund (Accumulation),WHT0024AU,International Property,,$1.94,35326,68532.44
19,1201,31/01/2018,11865,1570,Property,Superfund (Accumulation),VAN0018AU,International Property,,$1.04,53100,55224
19,1201,31/01/2018,11865,1571,Property,Superfund (Accumulation),LAZ0014AU,International Infrastructure,,$1.53,51437,78698.61
19,1201,31/01/2018,11865,1571,Property,Superfund (Accumulation),MPL0006AU,International Infrastructure,,$1.63,43373,70697.99
19,1201,31/01/2018,13307,9143,Equities,Superfund (Pension),RGL0002AU,Australian Equity,,$1.75,35754,62569.5
19,1201,31/01/2018,13307,9143,Equities,Superfund (Pension),PER0439AU,Australian Equity,,$1.50,54321,81481.5
19,1201,31/01/2018,13307,9143,Equities,Superfund (Pension),RGL0004AU,Australian Equity,,$2.26,30360,68613.6
19,1201,31/01/2018,13307,9143,Equities,Superfund (Pension),PIM0028AU,Australian Equity,,$1.25,80294,100367.5
19,1201,31/01/2018,13307,9143,Equities,Superfund (Pension),OPS7755AU,Australian Equity,,$1.23,84174,103534.02
19,1201,31/01/2018,13307,9145,Equities,Superfund (Pension),MGE0001AU,International Equity,,$2.13,28167,59995.71
19,1201,31/01/2018,13307,9145,Equities,Superfund (Pension),PLA0100AU,International Equity,,$2.80,29304,82051.2
19,1201,31/01/2018,13307,9145,Equities,Superfund (Pension),SCH0030AU,International Equity,,$0.90,111846,100661.4
19,1201,31/01/2018,13307,9145,Equities,Superfund (Pension),SST0050AU,International Equity,,$1.52,66072,100429.44
19,1201,31/01/2018,13307,9145,Equities,Superfund (Pension),LAZ0025AU,International Equity,,$1.46,41268,60251.28
19,1201,31/01/2018,13307,9146,Equities,Superfund (Pension),EQI0028AU,International Equity,,$2.44,8968,21881.92
19,1201,31/01/2018,13307,9146,Equities,Superfund (Pension),PMC0002AU,International Equity,,$1.99,16627,33087.73
19,1201,31/01/2018,13307,9149,Property,Superfund (Pension),WHT0024AU,International Property,,$1.94,30156,58502.64
19,1201,31/01/2018,13307,9149,Property,Superfund (Pension),VAN0018AU,International Property,,$1.04,45282,47093.28
19,1201,31/01/2018,13307,9151,Fixed Interest,Superfund (Pension),CSA0046AU,International Fixed Interest,,$1.03,29579,30466.37
19,1201,31/01/2018,13307,9151,Fixed Interest,Superfund (Pension),ETL0019AU,International Fixed Interest,,$0.98,30429,29820.42
19,1201,31/01/2018,13307,9151,Fixed Interest,Superfund (Pension),OMF0005AU,Australian Fixed Interest,,$1.37,63757,87347.09
19,1201,31/01/2018,13307,9152,Cash,Superfund (Pension),IOF0111AU,Cash,,$1.05,205070,215323.5
19,1201,31/01/2018,13307,9152,Cash,Superfund (Pension),IOF0145AU,Australian Fixed Interest,,$1.07,86038,92060.66
19,1201,31/01/2018,13307,9153,Fixed Interest,Superfund (Pension),MAQ0211AU,Australian Fixed Interest,,$0.99,65604,64947.96
19,1201,31/01/2018,13307,9156,Alternatives,Superfund (Pension),FSF1086AU,Alternative Investments,,$1.24,14189,17594.36
19,1201,31/01/2018,13307,9156,Alternatives,Superfund (Pension),ECL0013AU,Alternative Investments,,$1.18,17387,20516.66
19,1201,31/01/2018,13307,9156,Alternatives,Superfund (Pension),PER0730AU,Alternative Investments,,$0.91,16304,14836.64
19,1201,31/01/2018,13307,9156,Alternatives,Superfund (Pension),GSF0009AU,Alternative Investments,,$0.91,16749,15241.59
19,1201,31/01/2018,13307,9156,Alternatives,Superfund (Pension),GMO0014AU,Alternative Investments,,$1.06,14545,15417.7
19,1201,31/01/2018,13307,9156,Alternatives,Superfund (Pension),ETL0485AU,Alternative Investments,,$0.95,21249,20186.55
19,1201,31/01/2018,13307,9157,Property,Superfund (Pension),LAZ0014AU,International Infrastructure,,$1.53,36143,55298.79
19,1201,31/01/2018,13307,9157,Property,Superfund (Pension),MPL0006AU,International Infrastructure,,$1.63,33025,53830.75
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),CSA0046AU,International Fixed Interest,,$1.03,20172,20777.16
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),EQI0028AU,International Equity,,$2.44,5289,12905.16
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),IOF0111AU,Cash,,$1.05,249802,262292.1
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),LAZ0014AU,International Infrastructure,,$1.53,23626,36147.78
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),MAQ0211AU,Australian Fixed Interest,,$0.99,288379,285495.21
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),MGE0001AU,International Equity,,$2.13,11989,25536.57
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),PLA0100AU,International Equity,,$2.80,13025,36470
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),RGL0002AU,Australian Equity,,$1.75,15301,26776.75
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),SCH0030AU,International Equity,,$0.90,47747,42972.3
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),VEU,International Equity,GICS Not Applicable,$71.90,3661,263225.9
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),VTS,International Equity,GICS Not Applicable,$179.40,673,120736.2
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),WHT0024AU,International Property,,$1.94,19820,38450.8
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),ETL0019AU,International Fixed Interest,,$0.98,21528,21097.44
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),FSF1086AU,Alternative Investments,,$1.24,43652,54128.48
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),IOF0145AU,Australian Fixed Interest,,$1.07,225061,240815.27
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),PMC0002AU,International Equity,,$1.99,8935,17780.65
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),OMF0005AU,Australian Fixed Interest,,$1.37,48224,66066.88
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),PER0439AU,Australian Equity,,$1.50,22666,33999
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),MAQ0829AU,International Infrastructure,,$1.41,3296,4647.36
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),MAQ0831AU,International Infrastructure,,$1.36,8262,11236.32
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),MAQ0830AU,International Property,,$1.15,4050,4657.5
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),MAQ0832AU,International Property,,$1.29,37832,48803.28
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),ECL0013AU,Alternative Investments,,$1.18,52668,62148.24
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),PER0730AU,Alternative Investments,,$0.91,52165,47470.15
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),GSF0009AU,Alternative Investments,,$0.91,52511,47785.01
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),GMO0014AU,Alternative Investments,,$1.06,46142,48910.52
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),MAQ0288AU,Australian Equity,,$1.68,93759,157515.12
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),RGL0004AU,Australian Equity,,$2.26,13526,30568.76
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),MPL0006AU,International Infrastructure,,$1.63,21519,35075.97
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),SST0050AU,International Equity,,$1.52,27908,42420.16
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),LAZ0025AU,International Equity,,$1.46,17548,25620.08
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),VAE,International Equity,GICS Not Applicable,$67.95,836,56806.2
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),ETL0485AU,Alternative Investments,,$0.95,70114,66608.3
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),PIM0028AU,Australian Equity,,$1.25,32149,40186.25
19,1201,31/01/2018,11859,14460,Conservative,Superfund (Accumulation),OPS7755AU,Australian Equity,,$1.23,33694,41443.62
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),PER0116AU,Australian Equity,,$2.03,43572,88451.16
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),RHC,Australian Equity,Health Care Equipment & Services,$68.35,223,15242.05
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),RMD,Australian Equity,Health Care Equipment & Services,$12.47,3073,38320.31
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),WBC,Australian Equity,Banks,$30.96,1137,35201.52
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),WBCPC,Australian Fixed Interest,Banks,$102.52,312,31986.24
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),CNI,Australian Property,Diversified Financials,$1.41,96734,136394.94
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),CRE0014AU,Australian Fixed Interest,,$1.05,71233,74794.65
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),EHE,Australian Equity,Health Care Equipment & Services,$3.41,5262,17943.42
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),CMA,Australian Property,Real Estate,$2.37,19152,45390.24
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),AUG0006AU,International Equity,,$1.18,69716,82264.88
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),BBOZ,Australian Equity,GICS Not Applicable,$15.16,1339,20299.24
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),BBUS,Alternative Investments,GICS Not Applicable,$4.75,8145,38688.75
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),JHC,Australian Equity,Health Care Equipment & Services,$1.98,15257,30208.86
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),ANZPG,Australian Fixed Interest,Banks,$107.40,604,64869.6
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),RNE,Australian Equity,Utilities,$0.02,15451,309.02
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),MOE,Australian Equity,Diversified Financials,$6.30,10008,63050.4
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),PPCHB,Australian Fixed Interest,Real Estate,$103.61,150,15541.5
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),CRR_2022,Australian Property,Real Estate,$2.74,18334,50235.16
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),AU3FN0039459,Australian Fixed Interest,,$1.02,69000,70380
78,19077,31/01/2018,19103,19105,Tailored,Superfund (Pension),SLT1639AU,Alternative Investments,,$1.00,206435,206435
78,19077,31/01/2018,19103,19106,Property,Superfund (Pension),CPG0001AU,Australian Property,,$0.35,269136,94197.6
78,19077,31/01/2018,19103,19106,Property,Superfund (Pension),HTH0007AU,Australian Property,,$1.17,50008,58509.36
78,34601,31/01/2018,19204,19206,Balanced,Superfund (Pension),CNI,Australian Property,Diversified Financials,$1.40,55017,77023.8
78,34601,31/01/2018,19204,19206,Balanced,Superfund (Pension),CPG0001AU,Australian Property,,$0.35,218175,76361.25
78,34601,31/01/2018,19204,19206,Balanced,Superfund (Pension),PCL0015AU,Australian Equity,,$1.16,318042,368928.72
78,34601,31/01/2018,19204,19206,Balanced,Superfund (Pension),BBOZ,Australian Equity,GICS Not Applicable,$15.16,1778,26954.48
78,34601,31/01/2018,19204,19206,Balanced,Superfund (Pension),BBUS,Alternative Investments,GICS Not Applicable,$4.75,8379,39800.25
78,34601,31/01/2018,19204,19206,Balanced,Superfund (Pension),MA1,Australian Equity,GICS Not Applicable,$0.85,45000,38250
78,34601,31/01/2018,19204,19206,Balanced,Superfund (Pension),MON0001AU,Alternative Investments,,$1.46,7547,11018.62
78,34601,31/01/2018,19204,19206,Balanced,Superfund (Pension),MOE,Australian Equity,Diversified Financials,$6.30,4735,29830.5
78,34601,31/01/2018,19204,19206,Balanced,Superfund (Pension),SLT1639AU,Alternative Investments,,$1.00,123389,123389
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),AMC,Australian Equity,Materials,$14.56,546,7949.76
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),ANZ,Australian Equity,Banks,$28.58,250,7145
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),FXL,Australian Equity,Diversified Financials,$1.81,5713,10340.53
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),LLC,Australian Equity,Real Estate,$15.84,366,5797.44
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),NAB,Australian Equity,Banks,$29.13,380,11069.4
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),RHC,Australian Equity,Health Care Equipment & Services,$68.35,97,6629.95
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),RIO,Australian Equity,Materials,$76.85,214,16445.9
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),RMD,Australian Equity,Health Care Equipment & Services,$12.47,1649,20563.03
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),WBC,Australian Equity,Banks,$30.96,360,11145.6
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),CNI,Australian Property,Diversified Financials,$1.41,25859,36461.19
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),CPG0001AU,Australian Property,,$0.35,98660,34531
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),NXT,Australian Equity,Software & Services,$5.70,2455,13993.5
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),EHE,Australian Equity,Health Care Equipment & Services,$3.41,2597,8855.77
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),BBOZ,Australian Equity,GICS Not Applicable,$15.16,949,14386.84
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),BBUS,Alternative Investments,GICS Not Applicable,$4.75,4578,21745.5
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),JHC,Australian Equity,Health Care Equipment & Services,$1.98,4613,9133.74
78,34601,31/01/2018,19213,19215,Growth,Superfund (Accumulation),MA1,Australian Equity,GICS Not Applicable,$0.85,24005,20404.25
